"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
0,0,2117155.154999998,29668638785.211983,21002876.677999582,27117155.18932918,6114278.511329599,2120031.867328765,0.05,0.00013698630136986303,0.0,0.14998938347972118,0.0,2103,22.861999999999952,2876.6780000000463
1,2117155.154999998,2262254.235000002,323241533.9119034,21000287.669239603,27259143.950250607,6258856.281011004,139399.7521614451,-0.09903151245072071,-0.00027131921219375536,2.1599314162076984,0.14903151245072072,3110.3012393390854,4263,40.40100000000001,-5699.310000000124
2,2262254.235000002,2289086.0779999965,-39354393.81957245,21005958.365585335,27282800.68728317,6276842.321697835,29327.433378295973,0.04336858599288644,0.00011881804381612724,2.2050398246675225,-0.14240009844360715,3175.2573475212325,6506,53.08500000000004,2495.4390000001813
3,2289086.0779999965,2340876.377000003,-70046800.89857483,21020024.57749745,27331403.51976012,6311378.942262672,62669.04438906675,0.18900064188172033,0.0005178099777581378,2.2135895230477645,-0.14563205588883388,3187.5689131887807,8585,62.56000000000015,10878.643000000497
4,2340876.377000003,2353420.9939999986,-53316426.28614044,21034755.33766449,27340736.957899194,6305981.6202347055,24064.198306113947,0.2,0.0005479452054794521,2.230073728212285,-0.14430971396920567,3211.3061686256906,10758,71.38999999999994,11519.454000000627
5,2353420.9939999986,2350411.4020000007,2858965.84664917,21044520.851125214,27334508.840002965,6289987.988877751,3537.3955644960515,0.11358748031621563,0.00031119857620880994,2.2352030995601453,0.08641251968378438,3218.6924633666094,12916,78.89000000000006,6546.821000000494
6,2350411.4020000007,2371444.8500000015,-29675811.02528763,21059272.678679436,27352323.46856309,6293050.789883655,32566.456114347093,0.2,0.0005479452054794521,2.2353871920552164,-0.14006575564706963,3218.9575565595114,15054,85.15599999999988,11532.870000000989
7,2371444.8500000015,2357619.380999997,-32260004.24923706,21074043.34139786,27335268.434073925,6261225.092676066,-2284.371770744212,0.2,0.0005479452054794521,2.242892167444957,-0.1408067509448824,3229.7647211207377,17240,91.38300000000005,11540.898000001169
8,2357619.380999997,2348887.753000004,-42475745.94382477,21088818.764084827,27323310.572296053,6234491.808211226,2817.5609090966173,0.2,0.0005479452054794521,2.240567840416743,-0.14290860433965022,3226.4176902001095,19368,95.30500000000004,11549.005000001178
9,2348887.753000004,2368786.362000003,-9315861.762172699,21103600.892964285,27339984.33673055,6236383.443766266,31455.893313953653,0.2,0.0005479452054794521,2.239658946496084,-0.12230819901124093,3225.108882954361,21489,101.89100000000002,11557.020000001457
